0,0,0,0,0,0,0,0,0,0
0.56557,11.657,-0.014029,0.6,1.4,16,19,80,80,0.00225
0.56986,11.716,-0.024789,0.58741,1.3706,15.818,19.154,84.569,84.357,0.0022693
0.56391,11.595,-0.029382,0.56126,1.3096,16.085,19.325,86.721,85.778,0.0022312
0.59362,12.155,-0.036758,0.61205,1.4281,16.118,19.4,87.7,83.19,0.0021801
0.60647,12.408,-0.038424,0.62708,1.4632,16.202,19.451,88.536,83.309,0.0021172
0.61098,12.486,-0.045104,0.61741,1.4406,15.912,19.461,92.6,84.598,0.0021142
0.62591,12.805,-0.040494,0.63008,1.4702,16.036,19.552,94.204,80.073,0.0021366
0.61568,12.627,-0.035152,0.60293,1.4068,15.879,19.788,97.151,80.522,0.0022357
0.63169,12.944,-0.031712,0.64378,1.5022,16.113,19.078,93.67,81.536,0.0022767
0.62726,12.802,-0.049885,0.63079,1.4718,16.509,19.405,92.57,81.515,0.0023255
0.62803,12.843,-0.039399,0.64471,1.5043,15.944,19.008,93.588,77.247,0.0024368
0.62414,12.619,-0.08008,0.66453,1.5506,16.827,18.088,88.358,77.371,0.0025464
0.62606,12.793,-0.042748,0.64183,1.4976,16.283,19.041,94.126,79.047,0.0025154
0.64078,13.029,-0.056288,0.68914,1.608,17.236,18.18,86.684,80.901,0.0026035
0.63391,12.8,-0.081395,0.7008,1.6352,16.993,17.69,87.007,78.695,0.0026272
0.63212,12.882,-0.051773,0.65679,1.5325,16.374,18.939,91.077,77.409,0.0024936
0.63802,12.884,-0.08328,0.69355,1.6183,17.58,17.907,84.82,83.158,0.0026759
0.64348,13.131,-0.040658,0.69547,1.6228,17.233,19.252,84.406,85.112,0.0027998
0.62701,12.786,-0.051279,0.64046,1.4944,16.574,19.23,90.668,77.931,0.0027525
0.64568,13.157,-0.046568,0.69768,1.6279,17.495,19.1,84.019,86.505,0.0027328
0.64239,13.052,-0.059177,0.69269,1.6163,17.332,18.666,85.119,77.815,0.0026839
0.63923,13.044,-0.041523,0.68811,1.6056,17.55,19.407,83.799,73.912,0.0026403
0.63109,12.847,-0.046916,0.70735,1.6505,17.003,19.077,81.034,94.806,0.0027114
0.65147,13.298,-0.036063,0.71898,1.6776,17.238,18.729,84.192,76.678,0.0026962
0.65269,13.267,-0.050283,0.74321,1.7342,17.223,19.876,80.42,91.375,0.0027453
0.65204,13.277,-0.049724,0.70259,1.6394,18.026,20.322,82.621,76.492,0.0026702
