0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.11339,6.4143
0,0
0,0
0,0
0.11339,6.4143
0,0
0,0
-0.11339,6.4143
0,0
0,0
0,0
0.11339,6.4143
-0.22678,6.4142
0,0
0,0
0,0
0.22678,6.4142
0,0
0,0
-0.22678,6.4142
0,0
0,0
0,0
0.22678,6.4142
-0.34016,6.4138
0,0
0,0
0,0
0.34016,6.4138
0,0
0,0
-0.34016,6.4138
0,0
0,0
0,0
0.34016,6.4138
-0.45353,6.4132
0,0
0,0
0,0
0.45353,6.4132
0,0
0,0
-0.45353,6.4132
0,0
0,0
0,0
0.45353,6.4132
-0.56689,6.4125
0,0
0,0
0,0
0.56689,6.4125
0,0
0,0
-0.56689,6.4125
0,0
0,0
0,0
0.56689,6.4125
-0.68023,6.4116
0,0
0,0
0,0
0.68023,6.4116
0,0
0,0
-0.68023,6.4116
0,0
0,0
0,0
0.68023,6.4116
-0.79356,6.4105
0,0
0,0
0,0
0.79356,6.4105
0,0
0,0
-0.79356,6.4105
0,0
0,0
0,0
0.79356,6.4105
-0.90686,6.4092
0,0
0,0
0,0
0.90686,6.4092
0,0
0,0
-0.90686,6.4092
0,0
0,0
0,0
0.90686,6.4092
-1.0201,6.4077
0,0
0,0
0,0
1.0201,6.4077
0,0
0,0
-1.0201,6.4077
0,0
0,0
0,0
1.0201,6.4077
-1.1334,6.406
0,0
0,0
0,0
1.1334,6.406
0,0
0,0
-1.1334,6.406
0,0
0,0
0,0
1.1334,6.406
-1.2466,6.4042
0,0
0,0
0,0
1.2466,6.4042
0,0
0,0
-1.2466,6.4042
0,0
0,0
0,0
1.2466,6.4042
-1.3598,6.4022
0,0
0,0
0,0
1.3598,6.4022
0,0
0,0
-1.3598,6.4022
0,0
0,0
0,0
1.3598,6.4022
-1.4729,6.4
0,0
0,0
0,0
1.4729,6.4
0,0
0,0
-1.4729,6.4
0,0
0,0
0,0
1.4729,6.4
-1.586,6.3976
0,0
0,0
0,0
1.586,6.3976
0,0
0,0
-1.586,6.3976
0,0
0,0
0,0
1.586,6.3976
-1.699,6.395
0,0
0,0
0,0
1.699,6.395
0,0
0,0
-1.699,6.395
0,0
0,0
0,0
1.699,6.395
-1.812,6.3922
0,0
0,0
0,0
1.812,6.3922
0,0
0,0
-1.812,6.3922
0,0
0,0
0,0
1.812,6.3922
-1.925,6.3893
0,0
0,0
0,0
1.925,6.3893
0,0
0,0
-1.925,6.3893
0,0
0,0
0,0
1.925,6.3893
-2.0379,6.3862
0,0
0,0
0,0
2.0379,6.3862
0,0
0,0
-2.0379,6.3862
0,0
0,0
0,0
2.0379,6.3862
