0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.10659,7.1059
0,0
0,0
0,0
0.10659,7.1059
0,0
0,0
-0.10659,7.1059
0,0
0,0
0,0
0.10659,7.1059
-0.21318,7.1057
0,0
0,0
0,0
0.21318,7.1057
0,0
0,0
-0.21318,7.1057
0,0
0,0
0,0
0.21318,7.1057
-0.31975,7.1053
0,0
0,0
0,0
0.31975,7.1053
0,0
0,0
-0.31975,7.1053
0,0
0,0
0,0
0.31975,7.1053
-0.42632,7.1046
0,0
0,0
0,0
0.42632,7.1046
0,0
0,0
-0.42632,7.1046
0,0
0,0
0,0
0.42632,7.1046
-0.53288,7.1037
0,0
0,0
0,0
0.53288,7.1037
0,0
0,0
-0.53288,7.1037
0,0
0,0
0,0
0.53288,7.1037
-0.63942,7.1026
0,0
0,0
0,0
0.63942,7.1026
0,0
0,0
-0.63942,7.1026
0,0
0,0
0,0
0.63942,7.1026
-0.74594,7.1013
0,0
0,0
0,0
0.74594,7.1013
0,0
0,0
-0.74594,7.1013
0,0
0,0
0,0
0.74594,7.1013
-0.85243,7.0997
0,0
0,0
0,0
0.85243,7.0997
0,0
0,0
-0.85243,7.0997
0,0
0,0
0,0
0.85243,7.0997
-0.9589,7.0979
0,0
0,0
0,0
0.9589,7.0979
0,0
0,0
-0.9589,7.0979
0,0
0,0
0,0
0.9589,7.0979
-1.0653,7.0959
0,0
0,0
0,0
1.0653,7.0959
0,0
0,0
-1.0653,7.0959
0,0
0,0
0,0
1.0653,7.0959
-1.1717,7.0936
0,0
0,0
0,0
1.1717,7.0936
0,0
0,0
-1.1717,7.0936
0,0
0,0
0,0
1.1717,7.0936
-1.2781,7.0912
0,0
0,0
0,0
1.2781,7.0912
0,0
0,0
-1.2781,7.0912
0,0
0,0
0,0
1.2781,7.0912
-1.3844,7.0885
0,0
0,0
0,0
1.3844,7.0885
0,0
0,0
-1.3844,7.0885
0,0
0,0
0,0
1.3844,7.0885
-1.4907,7.0856
0,0
0,0
0,0
1.4907,7.0856
0,0
0,0
-1.4907,7.0856
0,0
0,0
0,0
1.4907,7.0856
-1.597,7.0825
0,0
0,0
0,0
1.597,7.0825
0,0
0,0
-1.597,7.0825
0,0
0,0
0,0
1.597,7.0825
-1.7031,7.0791
0,0
0,0
0,0
1.7031,7.0791
0,0
0,0
-1.7031,7.0791
0,0
0,0
0,0
1.7031,7.0791
-1.8093,7.0756
0,0
0,0
0,0
1.8093,7.0756
0,0
0,0
-1.8093,7.0756
0,0
0,0
0,0
1.8093,7.0756
-1.9154,7.0718
0,0
0,0
0,0
1.9154,7.0718
0,0
0,0
-1.9154,7.0718
0,0
